Date,Cases,Deaths,Recovered,Country
2020-01-22,0,0,0,Sri Lanka
2020-01-23,0,0,0,Sri Lanka
2020-01-24,0,0,0,Sri Lanka
2020-01-25,0,0,0,Sri Lanka
2020-01-26,0,0,0,Sri Lanka
2020-01-27,1,0,0,Sri Lanka
2020-01-28,1,0,0,Sri Lanka
2020-01-29,1,0,0,Sri Lanka
2020-01-30,1,0,0,Sri Lanka
2020-01-31,1,0,0,Sri Lanka
2020-02-01,1,0,0,Sri Lanka
2020-02-02,1,0,0,Sri Lanka
2020-02-03,1,0,0,Sri Lanka
2020-02-04,1,0,0,Sri Lanka
2020-02-05,1,0,0,Sri Lanka
2020-02-06,1,0,0,Sri Lanka
2020-02-07,1,0,0,Sri Lanka
2020-02-08,1,0,1,Sri Lanka
2020-02-09,1,0,1,Sri Lanka
2020-02-10,1,0,1,Sri Lanka
2020-02-11,1,0,1,Sri Lanka
2020-02-12,1,0,1,Sri Lanka
2020-02-13,1,0,1,Sri Lanka
2020-02-14,1,0,1,Sri Lanka
2020-02-15,1,0,1,Sri Lanka
2020-02-16,1,0,1,Sri Lanka
2020-02-17,1,0,1,Sri Lanka
2020-02-18,1,0,1,Sri Lanka
2020-02-19,1,0,1,Sri Lanka
2020-02-20,1,0,1,Sri Lanka
2020-02-21,1,0,1,Sri Lanka
2020-02-22,1,0,1,Sri Lanka
2020-02-23,1,0,1,Sri Lanka
2020-02-24,1,0,1,Sri Lanka
2020-02-25,1,0,1,Sri Lanka
2020-02-26,1,0,1,Sri Lanka
2020-02-27,1,0,1,Sri Lanka
2020-02-28,1,0,1,Sri Lanka
2020-02-29,1,0,1,Sri Lanka
2020-03-01,1,0,1,Sri Lanka
2020-03-02,1,0,1,Sri Lanka
2020-03-03,1,0,1,Sri Lanka
2020-03-04,1,0,1,Sri Lanka
2020-03-05,1,0,1,Sri Lanka
2020-03-06,1,0,1,Sri Lanka
2020-03-07,1,0,1,Sri Lanka
2020-03-08,1,0,1,Sri Lanka
2020-03-09,1,0,1,Sri Lanka
2020-03-10,1,0,1,Sri Lanka
2020-03-11,2,0,1,Sri Lanka
2020-03-12,2,0,1,Sri Lanka
2020-03-13,6,0,1,Sri Lanka
2020-03-14,10,0,1,Sri Lanka
2020-03-15,18,0,1,Sri Lanka
2020-03-16,28,0,1,Sri Lanka
2020-03-17,44,0,1,Sri Lanka
2020-03-18,51,0,1,Sri Lanka
2020-03-19,60,0,3,Sri Lanka
2020-03-20,73,0,3,Sri Lanka
2020-03-21,77,0,1,Sri Lanka
2020-03-22,82,0,3,Sri Lanka
2020-03-23,97,0,3,Sri Lanka
2020-03-24,102,0,2,Sri Lanka
2020-03-25,102,0,3,Sri Lanka
2020-03-26,106,0,7,Sri Lanka
2020-03-27,106,0,7,Sri Lanka
2020-03-28,113,1,9,Sri Lanka
2020-03-29,117,1,11,Sri Lanka
2020-03-30,122,2,15,Sri Lanka
2020-03-31,143,2,17,Sri Lanka
2020-04-01,146,3,21,Sri Lanka
2020-04-02,151,4,21,Sri Lanka
2020-04-03,159,4,24,Sri Lanka
2020-04-04,166,5,27,Sri Lanka
2020-04-05,176,5,33,Sri Lanka
2020-04-06,178,5,38,Sri Lanka
2020-04-07,185,6,42,Sri Lanka
2020-04-08,189,7,44,Sri Lanka
2020-04-09,190,7,49,Sri Lanka
2020-04-10,190,7,54,Sri Lanka
2020-04-11,198,7,54,Sri Lanka
2020-04-12,210,7,56,Sri Lanka
2020-04-13,217,7,56,Sri Lanka
2020-04-14,233,7,61,Sri Lanka
2020-04-15,238,7,63,Sri Lanka
2020-04-16,238,7,68,Sri Lanka
2020-04-17,244,7,77,Sri Lanka
2020-04-18,254,7,86,Sri Lanka
2020-04-19,271,7,96,Sri Lanka
2020-04-20,304,7,98,Sri Lanka
2020-04-21,310,7,102,Sri Lanka
2020-04-22,330,7,105,Sri Lanka
2020-04-23,368,7,107,Sri Lanka
2020-04-24,420,7,109,Sri Lanka
2020-04-25,460,7,118,Sri Lanka
2020-04-26,523,7,120,Sri Lanka
2020-04-27,588,7,126,Sri Lanka
2020-04-28,619,7,134,Sri Lanka
2020-04-29,649,7,136,Sri Lanka
2020-04-30,663,7,154,Sri Lanka
2020-05-01,690,7,162,Sri Lanka
2020-05-02,705,7,172,Sri Lanka
2020-05-03,718,7,184,Sri Lanka
2020-05-04,751,8,194,Sri Lanka
2020-05-05,771,9,213,Sri Lanka
2020-05-06,797,9,215,Sri Lanka
2020-05-07,824,9,232,Sri Lanka
2020-05-08,835,9,240,Sri Lanka
2020-05-09,847,9,260,Sri Lanka
2020-05-10,863,9,321,Sri Lanka
2020-05-11,869,9,343,Sri Lanka
2020-05-12,889,9,366,Sri Lanka
2020-05-13,915,9,382,Sri Lanka
2020-05-14,925,9,445,Sri Lanka
2020-05-15,935,9,477,Sri Lanka
2020-05-16,960,9,520,Sri Lanka
2020-05-17,981,9,538,Sri Lanka
2020-05-18,992,9,559,Sri Lanka
2020-05-19,1027,9,569,Sri Lanka
2020-05-20,1028,9,584,Sri Lanka
2020-05-21,1055,9,604,Sri Lanka
2020-05-22,1068,9,620,Sri Lanka
2020-05-23,1089,9,660,Sri Lanka
2020-05-24,1141,9,674,Sri Lanka
2020-05-25,1182,10,695,Sri Lanka
2020-05-26,1319,10,712,Sri Lanka
2020-05-27,1469,10,732,Sri Lanka
2020-05-28,1530,10,745,Sri Lanka
2020-05-29,1558,10,754,Sri Lanka
2020-05-30,1620,10,781,Sri Lanka
2020-05-31,1633,10,801,Sri Lanka
