Date,Cases,Deaths,Recovered,Country
1/22/20,0,0,0,Sri Lanka
1/23/20,0,0,0,Sri Lanka
1/24/20,0,0,0,Sri Lanka
1/25/20,0,0,0,Sri Lanka
1/26/20,0,0,0,Sri Lanka
1/27/20,1,0,0,Sri Lanka
1/28/20,1,0,0,Sri Lanka
1/29/20,1,0,0,Sri Lanka
1/30/20,1,0,0,Sri Lanka
1/31/20,1,0,0,Sri Lanka
2/1/20,1,0,0,Sri Lanka
2/2/20,1,0,0,Sri Lanka
2/3/20,1,0,0,Sri Lanka
2/4/20,1,0,0,Sri Lanka
2/5/20,1,0,0,Sri Lanka
2/6/20,1,0,0,Sri Lanka
2/7/20,1,0,0,Sri Lanka
2/8/20,1,0,1,Sri Lanka
2/9/20,1,0,1,Sri Lanka
2/10/20,1,0,1,Sri Lanka
2/11/20,1,0,1,Sri Lanka
2/12/20,1,0,1,Sri Lanka
2/13/20,1,0,1,Sri Lanka
2/14/20,1,0,1,Sri Lanka
2/15/20,1,0,1,Sri Lanka
2/16/20,1,0,1,Sri Lanka
2/17/20,1,0,1,Sri Lanka
2/18/20,1,0,1,Sri Lanka
2/19/20,1,0,1,Sri Lanka
2/20/20,1,0,1,Sri Lanka
2/21/20,1,0,1,Sri Lanka
2/22/20,1,0,1,Sri Lanka
2/23/20,1,0,1,Sri Lanka
2/24/20,1,0,1,Sri Lanka
2/25/20,1,0,1,Sri Lanka
2/26/20,1,0,1,Sri Lanka
2/27/20,1,0,1,Sri Lanka
2/28/20,1,0,1,Sri Lanka
2/29/20,1,0,1,Sri Lanka
3/1/20,1,0,1,Sri Lanka
3/2/20,1,0,1,Sri Lanka
3/3/20,1,0,1,Sri Lanka
3/4/20,1,0,1,Sri Lanka
3/5/20,1,0,1,Sri Lanka
3/6/20,1,0,1,Sri Lanka
3/7/20,1,0,1,Sri Lanka
3/8/20,1,0,1,Sri Lanka
3/9/20,1,0,1,Sri Lanka
3/10/20,1,0,1,Sri Lanka
3/11/20,2,0,1,Sri Lanka
3/12/20,2,0,1,Sri Lanka
3/13/20,6,0,1,Sri Lanka
3/14/20,10,0,1,Sri Lanka
3/15/20,18,0,1,Sri Lanka
3/16/20,28,0,1,Sri Lanka
3/17/20,44,0,1,Sri Lanka
3/18/20,51,0,1,Sri Lanka
3/19/20,60,0,3,Sri Lanka
3/20/20,73,0,3,Sri Lanka
3/21/20,77,0,1,Sri Lanka
3/22/20,82,0,3,Sri Lanka
3/23/20,97,0,3,Sri Lanka
3/24/20,102,0,2,Sri Lanka
3/25/20,102,0,3,Sri Lanka
3/26/20,106,0,7,Sri Lanka
3/27/20,106,0,7,Sri Lanka
3/28/20,113,1,9,Sri Lanka
3/29/20,117,1,11,Sri Lanka
3/30/20,122,2,15,Sri Lanka
3/31/20,143,2,17,Sri Lanka
4/1/20,146,3,21,Sri Lanka
4/2/20,151,4,21,Sri Lanka
4/3/20,159,4,24,Sri Lanka
4/4/20,166,5,27,Sri Lanka
4/5/20,176,5,33,Sri Lanka
4/6/20,178,5,38,Sri Lanka
4/7/20,185,6,42,Sri Lanka
4/8/20,189,7,44,Sri Lanka
4/9/20,190,7,49,Sri Lanka
4/10/20,190,7,54,Sri Lanka
4/11/20,198,7,54,Sri Lanka
4/12/20,210,7,56,Sri Lanka
4/13/20,217,7,56,Sri Lanka
4/14/20,233,7,61,Sri Lanka
4/15/20,238,7,63,Sri Lanka
4/16/20,238,7,68,Sri Lanka
4/17/20,244,7,77,Sri Lanka
4/18/20,254,7,86,Sri Lanka
4/19/20,271,7,96,Sri Lanka
4/20/20,304,7,98,Sri Lanka
4/21/20,310,7,102,Sri Lanka
4/22/20,330,7,105,Sri Lanka
4/23/20,368,7,107,Sri Lanka
4/24/20,420,7,109,Sri Lanka
4/25/20,460,7,118,Sri Lanka
4/26/20,523,7,120,Sri Lanka
4/27/20,588,7,126,Sri Lanka
4/28/20,619,7,134,Sri Lanka
4/29/20,649,7,136,Sri Lanka
4/30/20,663,7,154,Sri Lanka
5/1/20,690,7,162,Sri Lanka
5/2/20,705,7,172,Sri Lanka
5/3/20,718,7,184,Sri Lanka
5/4/20,751,8,194,Sri Lanka
5/5/20,771,9,213,Sri Lanka
5/6/20,797,9,215,Sri Lanka
5/7/20,824,9,232,Sri Lanka
5/8/20,835,9,240,Sri Lanka
5/9/20,847,9,260,Sri Lanka
5/10/20,863,9,321,Sri Lanka
5/11/20,869,9,343,Sri Lanka
5/12/20,889,9,366,Sri Lanka
5/13/20,915,9,382,Sri Lanka
5/14/20,925,9,445,Sri Lanka
5/15/20,935,9,477,Sri Lanka
5/16/20,960,9,520,Sri Lanka
5/17/20,981,9,538,Sri Lanka
5/18/20,992,9,559,Sri Lanka
5/19/20,1027,9,569,Sri Lanka
5/20/20,1028,9,584,Sri Lanka
5/21/20,1055,9,604,Sri Lanka
5/22/20,1068,9,620,Sri Lanka
5/23/20,1089,9,660,Sri Lanka
5/24/20,1141,9,674,Sri Lanka
5/25/20,1182,10,695,Sri Lanka
5/26/20,1319,10,712,Sri Lanka
5/27/20,1469,10,732,Sri Lanka
5/28/20,1530,10,745,Sri Lanka
5/29/20,1558,10,754,Sri Lanka
5/30/20,1620,10,781,Sri Lanka
